20,30,12,20,31,12,20,30,20,31,20,11,11,31,20,20,12,11,10,20,31,31,20,20,11,0,10,20,12,11,11,11,12,10,31,20,31,30,31,10,10,0,30,31,30,30,12,31,0,30
10,12,31,10,10,12,31,20,10,0,20,12,30,20,30,10,31,0,12,10,10,12,12,10,20,11,11,0,11,12,20,31,20,12,10,31,0,0,11,20,20,31,10,11,31,31,11,30,10,12
10,12,31,12,12,12,10,12,30,12,10,10,31,30,11,30,10,20,0,20,31,30,0,12,20,0,31,31,30,12,30,10,12,10,31,30,0,0,31,20,12,20,30,11,31,31,30,30,11,0
11,30,0,20,31,0,0,11,12,0,11,31,12,30,12,11,12,11,11,20,12,20,10,0,10,10,30,20,20,31,11,11,30,30,30,20,31,10,0,31,10,31,11,30,11,0,10,20,11,0
10,31,11,11,12,12,10,11,12,0,20,20,0,12,0,31,10,0,31,11,10,12,10,31,0,10,30,30,31,0,10,10,0,30,30,0,10,12,12,30,0,20,12,20,10,31,20,30,30,12
30,20,10,31,11,11,20,12,30,10,10,31,0,31,30,31,30,11,0,10,11,30,20,11,0,11,20,31,20,20,20,20,20,12,12,20,0,20,11,10,20,20,20,11,20,20,0,30,0,31
12,11,30,31,11,20,0,30,12,10,20,12,30,0,11,31,0,20,0,20,10,31,0,0,20,11,31,20,12,20,11,30,11,11,11,10,10,31,0,0,11,20,10,31,30,20,0,20,20,12
30,0,0,12,0,10,31,30,11,30,30,12,30,20,10,10,31,10,30,12,20,0,12,31,10,11,10,30,31,11,20,11,12,30,30,20,30,10,0,12,10,0,20,20,0,12,10,30,10,20
10,11,31,11,31,10,12,0,0,31,11,31,31,30,0,0,30,31,0,20,12,31,20,10,30,30,10,20,11,10,31,10,12,11,10,12,31,10,11,11,11,11,30,10,10,10,31,10,11,0
30,20,20,30,30,0,10,31,31,12,12,20,12,10,31,10,20,12,10,10,10,12,11,31,31,20,0,0,31,11,30,20,11,11,0,31,30,10,20,10,11,0,10,10,12,10,0,31,11,10
11,11,31,30,11,10,30,31,0,30,20,30,20,12,12,11,11,0,20,0,20,11,12,20,10,30,11,0,30,11,30,11,0,31,31,30,31,11,31,0,30,0,11,11,11,20,20,31,12,0
30,12,11,0,0,12,11,30,30,12,11,30,11,11,10,10,20,0,10,10,31,20,20,12,10,30,20,30,20,10,11,20,11,12,11,11,31,0,20,10,10,11,11,20,0,31,30,31,20,10
0,12,30,10,12,10,12,0,0,12,20,10,12,10,31,30,30,30,11,12,30,12,31,11,11,12,31,0,12,30,20,31,0,10,20,30,30,12,11,0,11,31,20,30,20,11,30,10,31,12
10,11,20,12,11,0,10,31,12,0,0,31,11,12,0,31,31,11,12,11,31,31,12,10,30,20,12,30,0,31,30,30,10,10,11,11,11,12,12,10,0,31,20,31,20,11,10,20,30,11
20,12,10,10,31,30,10,30,10,12,11,31,11,11,0,31,30,31,12,31,11,12,11,20,11,11,30,12,0,11,11,20,0,20,30,11,12,0,31,12,20,0,31,11,12,10,11,0,11,11
10,20,30,11,31,30,20,20,0,20,11,30,11,20,20,0,31,10,10,31,12,0,12,20,0,12,12,30,10,0,31,31,31,20,30,12,0,0,11,31,30,31,30,31,11,30,0,10,31,20
31,30,0,12,20,10,31,11,31,10,11,11,12,31,10,11,31,20,31,11,10,31,20,31,30,0,30,11,0,20,10,0,0,30,30,12,0,10,31,30,30,10,12,30,30,11,30,11,12,30
